BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;d;;Der;d e: 6;;;;;;;
1637;1763;0;eː;;Der;d e: 6;;;;;;;
3401;1763;0;ɐ;;Der;d e: 6;;;;;;;
5165;3968;1;b;;Besitz;b @ z I t s;;;;;;;
9134;1322;1;ə;;Besitz;b @ z I t s;;;;;;;
10457;5291;1;z;;Besitz;b @ z I t s;;;;;;;
15749;1763;1;ɪ;;Besitz;b @ z I t s;;;;;;;
17513;3086;1;t;;Besitz;b @ z I t s;;;;;;;
20600;5291;1;s;;Besitz;b @ z I t s;;;;;;;
25892;2204;2;d;;des;d E s;;;;;;;
28097;2645;2;ɛ;;des;d E s;;;;;;;
30743;3968;2;s;;des;d E s;;;;;;;
34712;8378;3;k;;Kiosks;k i: O s k s;;;;;;;
43091;4850;3;iː;;Kiosks;k i: O s k s;;;;;;;
47942;4850;3;ɔ;;Kiosks;k i: O s k s;;;;;;;
52793;4409;3;s;;Kiosks;k i: O s k s;;;;;;;
57203;3968;3;k;;Kiosks;k i: O s k s;;;;;;;
61172;4850;3;s;;Kiosks;k i: O s k s;;;;;;;
66023;2645;4;ʔ;;ist;? I s t;;;;;;;
68669;3527;4;ɪ;;ist;? I s t;;;;;;;
72197;5291;4;s;;ist;? I s t;;;;;;;
77489;1322;4;t;;ist;? I s t;;;;;;;
78812;4850;5;r;;rechtlich;r E C t l I C;;;;;;;
83663;3527;5;ɛ;;rechtlich;r E C t l I C;;;;;;;
87191;4850;5;ç;;rechtlich;r E C t l I C;;;;;;;
92042;2204;5;t;;rechtlich;r E C t l I C;;;;;;;
94247;3968;5;l;;rechtlich;r E C t l I C;;;;;;;
98216;2204;5;ɪ;;rechtlich;r E C t l I C;;;;;;;
100421;4409;5;ç;;rechtlich;r E C t l I C;;;;;;;
104831;3968;6;f;;verpfändet;f E 6 p f E n d @ t;;;;;;;
108800;1763;6;ɛ;;verpfändet;f E 6 p f E n d @ t;;;;;;;
110564;1322;6;ɐ;;verpfändet;f E 6 p f E n d @ t;;;;;;;
111887;2204;6;p;;verpfändet;f E 6 p f E n d @ t;;;;;;;
114092;4409;6;f;;verpfändet;f E 6 p f E n d @ t;;;;;;;
118502;3968;6;ɛ;;verpfändet;f E 6 p f E n d @ t;;;;;;;
122471;5732;6;n;;verpfändet;f E 6 p f E n d @ t;;;;;;;
128204;1763;6;d;;verpfändet;f E 6 p f E n d @ t;;;;;;;
129968;6173;6;ə;;verpfändet;f E 6 p f E n d @ t;;;;;;;
136142;7573;6;t;;verpfändet;f E 6 p f E n d @ t;;;;;;;
